SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Archaea-Euryarchaeota-Halobacteria-Natrialbales-Natrialbaceae-Natronorubrum_texcoconense_WP_090309625.1	#4daf4a	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum_texcoconense_WP_090309625.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Gordoniaceae-Gordonia_alkanivorans_WP_127962998.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	Gordonia_alkanivorans_WP_127962998.1	0.153409	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Gordoniaceae-NA_WP_006357233.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae	NA_WP_006357233.1	0.153409	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-NA-NA_WP_063014479.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	NA	NA_WP_063014479.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Nocardiaceae-NA_WP_063023020.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	NA_WP_063023020.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Nocardiaceae-Nocardia_inohanensis_WP_067813928.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia_inohanensis_WP_067813928.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Nocardiaceae-Nocardia_otitidiscaviarum_WP_143981584.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia_otitidiscaviarum_WP_143981584.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus_sp._SAORIC690_WP_105029517.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus_sp._SAORIC690_WP_105029517.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Propionibacteriales-Nocardioidaceae-Marmoricola_ginsengisoli_WP_123227456.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola_ginsengisoli_WP_123227456.1	0.147727	No	No
Bacteria-Actinobacteria-Actinobacteria-Propionibacteriales-Nocardioidaceae-Marmoricola_solisilvae_WP_123232522.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola_solisilvae_WP_123232522.1	0.146307	No	No
Bacteria-Actinobacteria-Actinobacteria-Propionibacteriales-Nocardioidaceae-Nocardioides_sp._K1W22B1_WP_120059289.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides_sp._K1W22B1_WP_120059289.1	0.146307	No	No
Bacteria-Bacteroidetes-Bacteroidia-Bacteroidales-Bacteroidaceae-Bacteroides_xylanolyticus_WP_104439214.1	#377eb8	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_xylanolyticus_WP_104439214.1	0.149148	No	No
Bacteria-Chlorobi-Chlorobia-Chlorobiales-Chlorobiaceae-Chlorobium_chlorochromatii_WP_011361330.1	#377eb8	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium_chlorochromatii_WP_011361330.1	0.146307	No	No
Bacteria-Deferribacteres-Deferribacteres-Deferribacterales-Deferribacteraceae-Geovibrio_thiophilus_WP_128466767.1	#377eb8	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Geovibrio_thiophilus_WP_128466767.1	0.150568	No	No
Bacteria-Deferribacteres-Deferribacteres-Deferribacterales-Deferribacteraceae-Seleniivibrio_woodruffii_WP_132874207.1	#377eb8	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Seleniivibrio_woodruffii_WP_132874207.1	0.147727	No	No
Bacteria-Firmicutes-Bacilli-Bacillales-Paenibacillaceae-Ammoniphilus_sp._CFH_90114_WP_129200752.1	#377eb8	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus_sp._CFH_90114_WP_129200752.1	0.149148	No	No
Bacteria-Firmicutes-Bacilli-Bacillales-Paenibacillaceae-Paenibacillus_koleovorans_WP_127589092.1	#377eb8	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus_koleovorans_WP_127589092.1	0.146307	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-Clostridium_beijerinckii_WP_017212984.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_beijerinckii_WP_017212984.1	0.149148	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-Clostridium_merdae_WP_085833015.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_merdae_WP_085833015.1	0.149148	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-NA_WP_009066092.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA_WP_009066092.1	0.149148	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Peptococcaceae-Candidatus_Desulfosporosinus_infrequens_WP_106801903.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Candidatus_Desulfosporosinus_infrequens_WP_106801903.1	0.149148	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Peptostreptococcaceae-Clostridioides_difficile_WP_021384444.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides_difficile_WP_021384444.1	0.149148	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Peptostreptococcaceae-Peptoclostridium_acidaminophilum_WP_025435131.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium_acidaminophilum_WP_025435131.1	0.146307	No	No
Bacteria-Firmicutes-Negativicutes-Selenomonadales-Sporomusaceae-NA_WP_018704142.1	#377eb8	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	NA_WP_018704142.1	0.149148	No	No
Bacteria-Firmicutes-Negativicutes-Selenomonadales-Sporomusaceae-Pelosinus_fermentans_WP_007955897.1	#377eb8	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae	Pelosinus_fermentans_WP_007955897.1	0.147727	No	No
Bacteria-Fusobacteria-Fusobacteriia-Fusobacteriales-Fusobacteriaceae-Cetobacterium_somerae_WP_023051300.1	#377eb8	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium_somerae_WP_023051300.1	0.144886	No	No
Bacteria-Kiritimatiellaeota-Kiritimatiellae-Kiritimatiellales-NA-Kiritimatiellales_bacterium_WP_136082822.1	#377eb8	Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	NA	Kiritimatiellales_bacterium_WP_136082822.1	0.149148	No	No
Bacteria-Lentisphaerae-Lentisphaeria-Lentisphaerales-Lentisphaeraceae-Lentisphaera_araneosa_WP_007279035.1	#377eb8	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera_araneosa_WP_007279035.1	0.147727	No	No
Bacteria-NA-NA-NA-NA-thiotrophic_endosymbiont_of_Bathymodiolus_puteoserpentis_Logatchev_WP_139683090.1	#377eb8	Bacteria	NA	NA	NA	NA	thiotrophic_endosymbiont_of_Bathymodiolus_puteoserpentis_Logatchev_WP_139683090.1	0.146307	No	No
Bacteria-Nitrospirae-Nitrospira-Nitrospirales-Nitrospiraceae-Candidatus_Sulfobium_mesophilum_WP_109135932.1	#377eb8	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Candidatus_Sulfobium_mesophilum_WP_109135932.1	0.147727	No	No
Bacteria-Planctomycetes-NA-NA-NA-NA_WP_145110468.1	#377eb8	Bacteria	Planctomycetes	NA	NA	NA	NA_WP_145110468.1	0.150568	No	No
Bacteria-Planctomycetes-NA-NA-NA-Planctomycetes_bacterium_Mal64_WP_146401864.1	#377eb8	Bacteria	Planctomycetes	NA	NA	NA	Planctomycetes_bacterium_Mal64_WP_146401864.1	0.150568	No	No
Bacteria-Proteobacteria-Betaproteobacteria-Burkholderiales-Burkholderiaceae-Burkholderia_pyrrocinia_WP_017329154.1	#377eb8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia_pyrrocinia_WP_017329154.1	0.150568	No	No
Bacteria-Proteobacteria-Betaproteobacteria-Burkholderiales-Burkholderiaceae-Caballeronia_arvi_WP_061147040.1	#377eb8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia_arvi_WP_061147040.1	0.150568	No	No
Bacteria-Proteobacteria-Betaproteobacteria-Burkholderiales-Burkholderiaceae-Candidatus_Paraburkholderia_sp._4MK11_WP_133193385.1	#377eb8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Candidatus_Paraburkholderia_sp._4MK11_WP_133193385.1	0.150568	No	No
Bacteria-Proteobacteria-Betaproteobacteria-Burkholderiales-Burkholderiaceae-NA_WP_006766049.1	#377eb8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	NA_WP_006766049.1	0.150568	No	No
Bacteria-Proteobacteria-Betaproteobacteria-Burkholderiales-Burkholderiaceae-Paraburkholderia_xenovorans_WP_011494446.1	#377eb8	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia_xenovorans_WP_011494446.1	0.150568	No	No
