SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Alexandrium_monilatum_MMETSP0093_c25182_g1_i1.p2	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Alexandrium_monilatum_MMETSP0093_c25182_g1_i1.p2	0.964072	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Alexandrium_monilatum_MMETSP0097_c91630_g1_i1.p2	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Alexandrium_monilatum_MMETSP0097_c91630_g1_i1.p2	0.964072	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Azadinium_spinosum_MMETSP1038_c20283_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Azadinium_spinosum_MMETSP1038_c20283_g1_i1.p1	0.982036	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Ceratium_fusus_MMETSP1074_c33581_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Ceratium_fusus_MMETSP1074_c33581_g1_i1.p1	0.874251	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Ceratium_fusus_MMETSP1075_c109501_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Ceratium_fusus_MMETSP1075_c109501_g1_i1.p1	0.958084	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Protoceratium_reticulatum_MMETSP0228_c91606_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Protoceratium_reticulatum_MMETSP0228_c91606_g1_i1.p1	0.97006	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Pyrodinium_bahamense_MMETSP0796_c34888_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Pyrodinium_bahamense_MMETSP0796_c34888_g1_i1.p1	0.976048	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Pyrodinium_bahamense_MMETSP0796_c43703_g1_i1.p2	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Pyrodinium_bahamense_MMETSP0796_c43703_g1_i1.p2	0.742515	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Symbiodinium_sp_MMETSP1115_c23531_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Symbiodinium_sp_MMETSP1115_c23531_g1_i1.p1	0.964072	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Symbiodinium_sp_MMETSP1116_c11416_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Symbiodinium_sp_MMETSP1116_c11416_g1_i1.p1	0.964072	No	No
Eukaryota-Amoebozoa-NA-NA-Paramoebidae-Trichosphaerium_sp_MMETSP0405_c19820_g1_i1.p1	#f781bf	Eukaryota	Amoebozoa	NA	NA	Paramoebidae	Trichosphaerium_sp_MMETSP0405_c19820_g1_i1.p1	0.976048	No	No
Eukaryota-Cercozoa-Chlorarachniophyceae-NA-NA-Chlorarachnion_reptans_MMETSP0109_c13394_g1_i1.p1	#f781bf	Eukaryota	Cercozoa	Chlorarachniophyceae	NA	NA	Chlorarachnion_reptans_MMETSP0109_c13394_g1_i1.p1	0.964072	No	No
Eukaryota-Cercozoa-Chlorarachniophyceae-NA-NA-Lotharella_globosa_MMETSP0111_c10371_g1_i1.p1	#f781bf	Eukaryota	Cercozoa	Chlorarachniophyceae	NA	NA	Lotharella_globosa_MMETSP0111_c10371_g1_i1.p1	0.964072	No	No
Eukaryota-Cercozoa-Chlorarachniophyceae-NA-NA-Lotharella_globosa_MMETSP0111_c26876_g1_i1.p1	#f781bf	Eukaryota	Cercozoa	Chlorarachniophyceae	NA	NA	Lotharella_globosa_MMETSP0111_c26876_g1_i1.p1	0.976048	No	No
Eukaryota-Cercozoa-NA-Euglyphida-Paulinellidae-Paulinella_chromatophora_scaffold5527-size1794_m.48691	#e41a1c	Eukaryota	Cercozoa	NA	Euglyphida	Paulinellidae	Paulinella_chromatophora_scaffold5527	0.97006	No	No
Eukaryota-Cnidaria-Hydrozoa-Anthoathecata-Hydridae-Hydra_magnipapillata_jgiHma2207101	#f781bf	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Hydridae	Hydra_magnipapillata_jgiHma2207101	0.964072	No	No
Eukaryota-Cryptophyta-NA-Goniomondales-NA-Goniomonas_pacifica_MMETSP0107_c6908_g1_i1.p1	#f781bf	Eukaryota	Cryptophyta	NA	Goniomondales	NA	Goniomonas_pacifica_MMETSP0107_c6908_g1_i1.p1	0.922156	No	No
Eukaryota-Haptophyta-NA-Isochrysidales-Noelaerhabdaceae-Emiliania_huxleyi_jgi199574	#f781bf	Eukaryota	Haptophyta	NA	Isochrysidales	Noelaerhabdaceae	Emiliania_huxleyi_jgi199574	0.832335	No	No
Eukaryota-Retaria-NA-NA-NA-Rosalina_sp_MMETSP0190_c745_g1_i1.p1	#f781bf	Eukaryota	Retaria	NA	NA	NA	Rosalina_sp_MMETSP0190_c745_g1_i1.p1	0.97006	No	No
Eukaryota-Stramenopiles-NA-NA-NA-Corethron_pennatum_MMETSP0171_c8057_g1_i1.p2	#f781bf	Eukaryota	Stramenopiles	NA	NA	NA	Corethron_pennatum_MMETSP0171_c8057_g1_i1.p2	0.97006	No	No
Eukaryota-Stramenopiles-NA-NA-NA-Odontella_sinensis_MMETSP0160_c32423_g1_i1.p1	#f781bf	Eukaryota	Stramenopiles	NA	NA	NA	Odontella_sinensis_MMETSP0160_c32423_g1_i1.p1	0.952096	No	No
Eukaryota-Stramenopiles-NA-NA-NA-Spumella_elongata_MMETSP1098_c51080_g1_i1.p1	#f781bf	Eukaryota	Stramenopiles	NA	NA	NA	Spumella_elongata_MMETSP1098_c51080_g1_i1.p1	0.952096	No	No
MSTRG.12686.1.p1	#e41a1c	NA	NA	NA	NA	NA	MSTRG.12686.1.p1	0.97006	No	No
