SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Archaea-CandidatusBathyarchaeota-NA-NA-NA-Candidatus_Bathyarchaeota_archaeon_WP_119816806.1	#4daf4a	Archaea	CandidatusBathyarchaeota	NA	NA	NA	Candidatus_Bathyarchaeota_archaeon_WP_119816806.1	0.960526	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Staphylothermus_marinus_WP_011838701.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus_marinus_WP_011838701.1	0.960526	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Thermogladius_calderae_WP_014737345.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius_calderae_WP_014737345.1	0.960526	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Thermosphaera_aggregans_WP_052891805.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera_aggregans_WP_052891805.1	0.953947	No	No
Archaea-Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus_ahangari_WP_048095523.1	#4daf4a	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus_ahangari_WP_048095523.1	0.960526	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanosarcinales-Methanotrichaceae-Methanosaeta_harundinacea_WP_014585852.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanotrichaceae	Methanosaeta_harundinacea_WP_014585852.1	0.960526	No	No
Archaea-Euryarchaeota-Thermoplasmata-Methanomassiliicoccales-Methanomassiliicoccaceae-Candidatus_Methanoplasma_termitum_WP_048112567.1	#4daf4a	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus_Methanoplasma_termitum_WP_048112567.1	0.960526	No	No
Archaea-NA-NA-NA-NA-anaerobic_archaeon_MKD1_WP_147664716.1	#4daf4a	Archaea	NA	NA	NA	NA	anaerobic_archaeon_MKD1_WP_147664716.1	0.967105	No	No
Archaea-NA-NA-NA-NA-archaeon_AArcSl_WP_119818800.1	#4daf4a	Archaea	NA	NA	NA	NA	archaeon_AArcSl_WP_119818800.1	0.940789	No	No
Bacteria-Actinobacteria-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus_sp._SAORIC690_WP_105029610.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus_sp._SAORIC690_WP_105029610.1	0.960526	No	No
Bacteria-Actinobacteria-Actinobacteria-Streptomycetales-Streptomycetaceae-NA_WP_017239588.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	NA_WP_017239588.1	0.960526	No	No
Bacteria-Actinobacteria-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces_exfoliatus_WP_030549256.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces_exfoliatus_WP_030549256.1	0.960526	No	No
Bacteria-Chlorobi-Chlorobia-Chlorobiales-Chlorobiaceae-Chlorobaculum_thiosulfatiphilum_WP_139456513.1	#377eb8	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobaculum_thiosulfatiphilum_WP_139456513.1	0.960526	No	No
Bacteria-Chlorobi-Chlorobia-Chlorobiales-Chlorobiaceae-Chlorobium_phaeobacteroides_WP_012474841.1	#377eb8	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium_phaeobacteroides_WP_012474841.1	0.960526	No	No
Bacteria-Chlorobi-Chlorobia-Chlorobiales-Chlorobiaceae-Prosthecochloris_sp._ZM_2_WP_114608133.1	#377eb8	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Prosthecochloris_sp._ZM_2_WP_114608133.1	0.960526	No	No
Bacteria-Chloroflexi-Anaerolineae-Anaerolineales-Anaerolineaceae-Anaerolinea_thermophila_WP_013559450.1	#377eb8	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea_thermophila_WP_013559450.1	0.960526	No	No
Bacteria-Chloroflexi-Anaerolineae-Anaerolineales-Anaerolineaceae-Leptolinea_tardivitalis_WP_062420100.1	#377eb8	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Leptolinea_tardivitalis_WP_062420100.1	0.960526	No	No
Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Bacillus_halotolerans_WP_105962668.1	#377eb8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus_halotolerans_WP_105962668.1	0.960526	No	No
Bacteria-Firmicutes-Bacilli-Bacillales-Bacillaceae-Oceanobacillus_sp._160_WP_114914910.1	#377eb8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Oceanobacillus_sp._160_WP_114914910.1	0.960526	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-Clostridium_sp._JN9_WP_128750773.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sp._JN9_WP_128750773.1	0.960526	No	No
Bacteria-Firmicutes-Clostridia-Clostridiales-Clostridiaceae-NA_WP_003482949.1	#377eb8	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA_WP_003482949.1	0.960526	No	No
